date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:11:26	94348/94348	---M--	200	added ('OK')	application/font-woff	etag:%225cf0a9aa-1708c%22	http://light.pinsupreme.com/icon_fonts_assets/metrize-icons/fonts/Metrize-Icons.woff	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/metrize-icons/fonts/Metrize-Icons.woff	(from http://light.pinsupreme.com/icon_fonts_assets/metrize-icons/style.css)
17:11:27	63520/63520	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225cf0a9aa-f820%22	http://light.pinsupreme.com/icon_fonts_assets/metrize-icons/fonts/Metrize-Icons.eot?	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/metrize-icons/fonts/Metrize-Iconsd41d.eot	(from http://light.pinsupreme.com/icon_fonts_assets/metrize-icons/style.css)
17:11:27	63336/63336	---M--	200	added ('OK')	application/octet-stream	etag:%225cf0a9aa-f768%22	http://light.pinsupreme.com/icon_fonts_assets/metrize-icons/fonts/Metrize-Icons.ttf	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/metrize-icons/fonts/Metrize-Icons.ttf	(from http://light.pinsupreme.com/icon_fonts_assets/metrize-icons/style.css)
17:11:27	28016/28016	---M--	200	added ('OK')	application/octet-stream	etag:%225cf0a9aa-6d70%22	http://light.pinsupreme.com/icon_fonts_assets/picons-social/fonts/picons-social.woff2?mqbcix	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/picons-social/fonts/picons-social1994.woff2	(from http://light.pinsupreme.com/icon_fonts_assets/picons-social/style.css)
17:11:29	223906/223906	---M--	200	added ('OK')	image/svg+xml	etag:%225cf0a9aa-36aa2%22	http://light.pinsupreme.com/icon_fonts_assets/picons-social/fonts/picons-social.svg?mqbcix	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/picons-social/fonts/picons-social1994.svg	(from http://light.pinsupreme.com/icon_fonts_assets/picons-social/style.css)
17:11:33	19288/19288	---M--	200	added ('OK')	application/octet-stream	etag:%225cf0a9aa-4b58%22	http://light.pinsupreme.com/icon_fonts_assets/batch-icons/fonts/batch.woff2?lqk6vk	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/batch-icons/fonts/batch35c7.woff2	(from http://light.pinsupreme.com/icon_fonts_assets/batch-icons/style.css)
17:11:35	52744/52744	---M--	200	added ('OK')	application/octet-stream	etag:%225cf0a9aa-ce08%22	http://light.pinsupreme.com/icon_fonts_assets/picons-social/fonts/picons-social.ttf?mqbcix	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/picons-social/fonts/picons-social1994.ttf	(from http://light.pinsupreme.com/icon_fonts_assets/picons-social/style.css)
17:11:37	212312/212312	---M--	200	added ('OK')	image/svg+xml	etag:%225cf0a9aa-33d58%22	http://light.pinsupreme.com/icon_fonts_assets/batch-icons/fonts/batch.svg?lqk6vk	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/batch-icons/fonts/batch35c7.svg	(from http://light.pinsupreme.com/icon_fonts_assets/batch-icons/style.css)
17:11:38	52820/52820	---M--	200	added ('OK')	application/font-woff	etag:%225cf0a9aa-ce54%22	http://light.pinsupreme.com/icon_fonts_assets/picons-social/fonts/picons-social.woff?mqbcix	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/picons-social/fonts/picons-social1994.woff	(from http://light.pinsupreme.com/icon_fonts_assets/picons-social/style.css)
17:11:44	69316/69316	---M--	200	added ('OK')	application/octet-stream	etag:%225cf0a9aa-10ec4%22	http://light.pinsupreme.com/icon_fonts_assets/batch-icons/fonts/batch.ttf?lqk6vk	C:/Users/Dennis%20Effa%20Amponsah/Desktop/TPMS/light.pinsupreme.com/icon_fonts_assets/batch-icons/fonts/batch35c7.ttf	(from http://light.pinsupreme.com/icon_fonts_assets/batch-icons/style.css)
